,Year,bResult,rResult,gamelength
1088,2017,0,1,39
1089,2017,0,1,47
1090,2017,1,0,42
1091,2017,1,0,28
1092,2017,1,0,35
1093,2017,0,1,29
1094,2017,1,0,37
1095,2017,0,1,46
1096,2017,0,1,29
1097,2017,1,0,36
1098,2017,0,1,39
1099,2017,1,0,38
1100,2017,1,0,34
1101,2017,1,0,46
1102,2017,0,1,43
1103,2017,1,0,38
1104,2017,1,0,30
1105,2017,0,1,27
1106,2017,1,0,30
1107,2017,0,1,40
1108,2017,1,0,31
1109,2017,0,1,28
1110,2017,1,0,36
1111,2017,0,1,42
1112,2017,0,1,32
1113,2017,0,1,52
1114,2015,0,1,36
1115,2015,1,0,28
1116,2015,1,0,50
1117,2015,1,0,40
1118,2015,0,1,27
1119,2015,0,1,38
1120,2015,1,0,38
1121,2015,1,0,46
1122,2015,1,0,34
1123,2015,0,1,34
1124,2015,1,0,30
1125,2015,1,0,30
1126,2015,1,0,53
1127,2015,1,0,38
1128,2015,1,0,38
1129,2015,0,1,43
1130,2015,0,1,28
1131,2015,1,0,64
1132,2015,1,0,38
1133,2015,1,0,44
1134,2015,0,1,40
1135,2015,0,1,45
1136,2015,0,1,36
1137,2015,1,0,41
1138,2015,1,0,60
1139,2015,1,0,33
1140,2015,1,0,52
1141,2015,1,0,45
1142,2015,0,1,43
1143,2015,0,1,36
1144,2015,0,1,51
1145,2015,1,0,31
1146,2015,0,1,38
1147,2015,1,0,32
1148,2015,0,1,37
1149,2015,1,0,31
1150,2015,1,0,42
1151,2015,1,0,47
1152,2015,1,0,49
1153,2015,0,1,46
1154,2015,0,1,43
1155,2015,0,1,43
1156,2015,1,0,44
1157,2015,0,1,43
1158,2015,0,1,41
1159,2015,0,1,39
1160,2015,1,0,31
1161,2015,1,0,49
1162,2015,1,0,41
1163,2015,0,1,39
1164,2015,0,1,31
1165,2015,1,0,30
1166,2015,0,1,35
1167,2015,1,0,36
1168,2015,1,0,34
1169,2015,1,0,42
1170,2015,1,0,38
1171,2015,1,0,33
1172,2015,1,0,53
1173,2015,0,1,49
1174,2015,1,0,47
1175,2015,1,0,39
1176,2015,1,0,68
1177,2015,1,0,39
1178,2015,1,0,32
1179,2015,0,1,43
1180,2015,0,1,49
1181,2015,1,0,28
1182,2015,1,0,24
1183,2015,1,0,41
1184,2015,0,1,42
1185,2015,0,1,27
1186,2015,0,1,35
1187,2015,1,0,47
1188,2015,0,1,38
1189,2015,0,1,45
1190,2015,1,0,39
1191,2015,1,0,37
1192,2015,0,1,30
1193,2015,0,1,27
1194,2015,1,0,59
1195,2015,0,1,32
1196,2015,1,0,38
1197,2015,0,1,38
1198,2015,0,1,34
1199,2015,0,1,41
1200,2015,1,0,33
1201,2015,0,1,43
1202,2015,1,0,42
1203,2015,1,0,31
1204,2015,0,1,47
1205,2015,0,1,37
1206,2015,0,1,37
1207,2015,0,1,37
1208,2015,1,0,34
1209,2015,1,0,33
1210,2015,1,0,28
1211,2015,1,0,39
1212,2015,1,0,41
1213,2015,1,0,44
1214,2015,0,1,29
1215,2015,0,1,38
1216,2015,1,0,41
1217,2015,1,0,31
1218,2015,0,1,40
1219,2015,1,0,28
1220,2015,0,1,43
1221,2015,1,0,36
1222,2015,1,0,55
1223,2015,1,0,28
1224,2015,1,0,29
1225,2015,1,0,28
1226,2015,0,1,40
1227,2015,0,1,42
1228,2015,1,0,37
1229,2015,0,1,48
1230,2015,1,0,29
1231,2015,1,0,32
1232,2015,0,1,26
1233,2015,1,0,36
1234,2015,0,1,35
1235,2015,0,1,30
1236,2015,1,0,39
1237,2015,0,1,42
1238,2015,1,0,42
1239,2015,0,1,27
